,accommodates,bedrooms,bathrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews
2021,0.40136569198184907,-0.24946711180638964,-0.43915146595189763,0.29734544695851073,130.0,-0.06503805841271584,-0.016572504972290344,2.5616286559486383
768,-0.5965438611948312,-0.24946711180638964,-0.43915146595189763,-0.5468580609956214,55.0,0.2112984143107562,-0.016572504972290344,-0.3798935929444404
1140,-0.5965438611948312,-0.24946711180638964,-0.43915146595189763,-0.5468580609956214,215.0,-0.06503805841271584,-0.016599166813761352,1.7065349789448365
2760,-0.5965438611948312,0.9398754433121258,-0.43915146595189763,0.29734544695851073,500.0,-0.3413745311361879,-0.016572504972290344,-0.5167085812650488
1088,-1.0954986377831712,-0.24946711180638964,-0.43915146595189763,-0.5468580609956214,100.0,-0.06503805841271584,-0.016572504972290344,-0.5167085812650488
629,-0.5965438611948312,-1.438809666924905,-0.43915146595189763,-0.5468580609956214,100.0,0.2112984143107562,-0.016572504972290344,-0.4825048341848967
1329,-0.5965438611948312,-0.24946711180638964,-0.43915146595189763,-0.5468580609956214,100.0,0.4876348870342282,-0.016572504972290344,-0.4825048341848967
3685,1.3992752451585293,0.9398754433121258,-0.43915146595189763,1.141548954912643,186.0,-0.06503805841271584,-0.016593947299822585,-0.037856122142919627
2853,-0.5965438611948312,-0.24946711180638964,-0.43915146595189763,-0.5468580609956214,70.0,-0.3413745311361879,-0.016604047764633822,0.61201507237997
1342,0.40136569198184907,-1.438809666924905,-0.43915146595189763,0.29734544695851073,140.0,-0.3413745311361879,-0.016572504972290344,0.7146263136204262
1613,0.40136569198184907,-0.24946711180638964,-0.43915146595189763,-0.5468580609956214,89.0,-0.3413745311361879,-0.016572504972290344,1.3302937610631638
919,3.3950943515118897,2.1292179984306414,2.9691466979157908,2.829955970820907,500.0,0.2112984143107562,-0.016576059884486478,-0.14046736338337587
2828,0.40136569198184907,2.1292179984306414,-0.43915146595189763,1.141548954912643,250.0,0.7639713597577003,-0.016572504972290344,-0.5167085812650488
2178,-0.5965438611948312,-0.24946711180638964,0.41292307501502445,-0.5468580609956214,148.0,-0.3413745311361879,-0.016572504972290344,-0.34568984586428836
1745,-0.5965438611948312,-1.438809666924905,-0.43915146595189763,-0.5468580609956214,100.0,-0.3413745311361879,-0.016572504972290344,-0.41409734002459253
2518,-0.5965438611948312,-1.438809666924905,-0.43915146595189763,-0.5468580609956214,110.0,-0.06503805841271584,-0.016572504972290344,-0.037856122142919627
3473,2.3971847983352093,2.1292179984306414,0.41292307501502445,2.829955970820907,299.0,0.2112984143107562,-0.016576059884486478,-0.20887485754368004
3079,0.40136569198184907,-0.24946711180638964,-0.43915146595189763,-0.5468580609956214,189.0,0.2112984143107562,-0.016572504972290344,0.6804225665402741
2858,0.9003204685701892,0.9398754433121258,2.1170721569488684,1.141548954912643,280.0,-0.06503805841271584,-0.016603398852090084,-0.4825048341848967
1472,0.9003204685701892,0.9398754433121258,-0.43915146595189763,0.29734544695851073,199.0,-0.3413745311361879,-0.016572504972290344,0.06475511909753662
2762,-0.5965438611948312,-0.24946711180638964,-0.43915146595189763,-0.5468580609956214,70.0,-0.3413745311361879,-0.016572504972290344,-0.037856122142919627
1363,0.40136569198184907,-0.24946711180638964,-0.43915146595189763,-0.5468580609956214,135.0,-0.3413745311361879,-0.01660390669668953,0.7146263136204262
2285,-0.5965438611948312,-0.24946711180638964,-0.43915146595189763,-0.5468580609956214,75.0,-0.3413745311361879,-0.016572504972290344,-0.5167085812650488
129,-0.09758908460649103,-0.24946711180638964,-0.43915146595189763,0.29734544695851073,246.0,0.2112984143107562,-0.016572504972290344,-0.5167085812650488
1551,-0.5965438611948312,-0.24946711180638964,-0.43915146595189763,-0.5468580609956214,42.0,0.4876348870342282,-0.016572504972290344,-0.003652375062767547
1252,-0.09758908460649103,-1.438809666924905,-0.43915146595189763,-0.5468580609956214,125.0,-0.06503805841271584,-0.016572504972290344,-0.4825048341848967
3583,-1.0954986377831712,-0.24946711180638964,-0.43915146595189763,-0.5468580609956214,75.0,-0.06503805841271584,-0.016572504972290344,-0.5167085812650488
1459,-0.5965438611948312,-0.24946711180638964,-0.43915146595189763,-0.5468580609956214,80.0,-0.3413745311361879,-0.016572504972290344,-0.14046736338337587
47,-1.0954986377831712,-0.24946711180638964,-0.43915146595189763,-0.5468580609956214,55.0,-0.3413745311361879,-0.016572504972290344,-0.5167085812650488
277,-0.5965438611948312,-0.24946711180638964,-0.43915146595189763,-0.5468580609956214,70.0,-0.3413745311361879,-0.016572504972290344,-0.20887485754368004
3573,0.40136569198184907,0.9398754433121258,0.41292307501502445,0.29734544695851073,175.0,0.2112984143107562,-0.016572504972290344,-0.5167085812650488
3363,-1.0954986377831712,-1.438809666924905,-0.43915146595189763,-0.5468580609956214,54.0,-0.3413745311361879,-0.016572504972290344,-0.5167085812650488
430,-0.5965438611948312,-0.24946711180638964,-0.43915146595189763,-0.5468580609956214,55.0,-0.06503805841271584,-0.016565733710964373,-0.5167085812650488
302,-0.09758908460649103,-1.438809666924905,-0.43915146595189763,-0.5468580609956214,140.0,-0.3413745311361879,-0.016572504972290344,-0.2430786046238321
3712,0.40136569198184907,-0.24946711180638964,-0.43915146595189763,0.29734544695851073,165.0,-0.3413745311361879,-0.016572504972290344,-0.5167085812650488
60,0.40136569198184907,-0.24946711180638964,0.41292307501502445,-0.5468580609956214,94.0,-0.3413745311361879,-0.016603370638501223,0.09895886617768869
1811,1.3992752451585293,2.1292179984306414,-0.43915146595189763,1.141548954912643,180.0,-0.3413745311361879,-0.016572504972290344,0.030551372017384535
